experiment_index;n;mod;avg_time_microseconds
0;2;1000003;3
5;3;1000003;5
10;4;1000003;8
15;5;1000003;11
20;6;1000003;23
25;7;1000003;31
30;8;1000003;44
35;9;1000003;66
40;10;1000003;100
45;11;1000003;133
50;12;1000003;201
55;13;1000003;269
60;14;1000003;355
65;15;1000003;451
70;16;1000003;566
75;17;1000003;711
80;18;1000003;981
85;19;1000003;1246
90;20;1000003;1484
95;21;1000003;1795
100;22;1000003;2153
105;23;1000003;2529
110;24;1000003;3010
115;25;1000003;3575
120;26;1000003;4072
125;27;1000003;4711
130;28;1000003;5532
135;29;1000003;6310
140;30;1000003;7100
145;31;1000003;8148
150;32;1000003;9231
155;33;1000003;10235
160;34;1000003;11603
165;35;1000003;12969
170;36;1000003;14533
175;37;1000003;16188
180;38;1000003;18050
