n;avg_time_microseconds
2;4
3;6
4;11
5;11
6;16
7;23
8;25
9;32
10;40
11;54
12;63
13;71
14;97
15;100
16;121
17;156
18;177
19;195
20;220
21;250
22;290
23;327
24;362
25;404
26;446
27;528
28;640
29;639
30;689
31;734
32;812
33;899
34;992
35;1058
36;1188
37;1254
38;1355
39;1455
40;1566
41;1769
42;1846
43;1939
44;2133
45;2216
46;2375
47;2504
48;2671
49;2841
50;2925
51;3205
52;3408
53;3572
54;3727
55;3924
56;4110
57;4145
58;4666
59;4840
60;5060
61;5356
62;5546
63;5731
