experiment_index;n;mod;avg_time_microseconds
0;2;1000003;3
5;3;1000003;5
10;4;1000003;6
15;5;1000003;12
20;6;1000003;19
25;7;1000003;32
30;8;1000003;43
35;9;1000003;69
40;10;1000003;97
45;11;1000003;136
50;12;1000003;191
55;13;1000003;257
60;14;1000003;340
65;15;1000003;446
70;16;1000003;581
75;17;1000003;738
80;18;1000003;904
85;19;1000003;1241
90;20;1000003;1575
95;21;1000003;1897
100;22;1000003;2191
105;23;1000003;2594
110;24;1000003;3096
115;25;1000003;3640
120;26;1000003;4177
125;27;1000003;4927
130;28;1000003;5578
135;29;1000003;7148
140;30;1000003;8259
145;31;1000003;8500
150;32;1000003;9348
155;33;1000003;10826
160;34;1000003;11784
165;35;1000003;14992
170;36;1000003;14993
175;37;1000003;16857
180;38;1000003;18478
185;39;1000003;20684
190;40;1000003;22843
195;41;1000003;24990
200;42;1000003;27509
205;43;1000003;30257
210;44;1000003;33218
215;45;1000003;36795
220;46;1000003;39573
225;47;1000003;44443
230;48;1000003;46802
