experiment_index;n;mod;avg_time_microseconds
0;2;1000003;5
5;3;1000003;6
10;4;1000003;11
15;5;1000003;12
20;6;1000003;20
25;7;1000003;31
30;8;1000003;43
35;9;1000003;68
40;10;1000003;100
45;11;1000003;138
50;12;1000003;185
55;13;1000003;255
60;14;1000003;332
65;15;1000003;434
70;16;1000003;554
75;17;1000003;716
80;18;1000003;874
85;19;1000003;1210
90;20;1000003;1495
95;21;1000003;1787
100;22;1000003;2131
105;23;1000003;2538
110;24;1000003;3002
115;25;1000003;3500
120;26;1000003;4091
125;27;1000003;4755
130;28;1000003;5486
135;29;1000003;6316
140;30;1000003;7380
145;31;1000003;8059
150;32;1000003;9208
155;33;1000003;10294
160;34;1000003;11518
165;35;1000003;13026
170;36;1000003;14778
175;37;1000003;16368
180;38;1000003;18030
185;39;1000003;19676
190;40;1000003;21905
195;41;1000003;24053
200;42;1000003;26577
205;43;1000003;29138
210;44;1000003;32175
215;45;1000003;35089
220;46;1000003;38019
225;47;1000003;41651
230;48;1000003;46368
235;49;1000003;49057
240;50;1000003;53551
245;51;1000003;57449
250;52;1000003;61614
255;53;1000003;67149
260;54;1000003;72004
265;55;1000003;77588
270;56;1000003;82473
275;57;1000003;88800
280;58;1000003;96951
285;59;1000003;102055
290;60;1000003;108661
295;61;1000003;119077
300;62;1000003;123160
305;63;1000003;132433
310;64;1000003;142383
315;65;1000003;151586
320;66;1000003;158218
