experiment_index;n;mod;avg_time_microseconds
0;2;1000003;13
5;3;1000003;11
10;4;1000003;22
15;5;1000003;42
20;6;1000003;61
25;7;1000003;90
30;8;1000003;130
35;9;1000003;181
40;10;1000003;244
45;11;1000003;324
50;12;1000003;416
55;13;1000003;526
60;14;1000003;636
65;15;1000003;776
70;16;1000003;939
75;17;1000003;1149
80;18;1000003;1321
85;19;1000003;1553
90;20;1000003;1797
95;21;1000003;2122
100;22;1000003;2432
105;23;1000003;2699
110;24;1000003;3059
115;25;1000003;3545
120;26;1000003;3922
125;27;1000003;4511
130;28;1000003;4807
135;29;1000003;5479
140;30;1000003;5993
145;31;1000003;6477
150;32;1000003;7215
155;33;1000003;7794
160;34;1000003;8995
165;35;1000003;10024
170;36;1000003;12106
175;37;1000003;13809
180;38;1000003;12803
185;39;1000003;15338
190;40;1000003;15318
195;41;1000003;17450
200;42;1000003;17529
205;43;1000003;19983
210;44;1000003;20124
215;45;1000003;22480
