experiment_index;n;mod;avg_time_microseconds
0;2;1000003;3
5;3;1000003;3
10;4;1000003;8
15;5;1000003;9
20;6;1000003;19
25;7;1000003;36
30;8;1000003;42
35;9;1000003;83
40;10;1000003;93
45;11;1000003;139
50;12;1000003;189
55;13;1000003;248
60;14;1000003;489
65;15;1000003;536
70;16;1000003;624
75;17;1000003;768
80;18;1000003;1056
85;19;1000003;1356
90;20;1000003;1506
95;21;1000003;1864
100;22;1000003;2395
105;23;1000003;2780
110;24;1000003;3361
115;25;1000003;3711
120;26;1000003;4453
125;27;1000003;4922
130;28;1000003;5964
135;29;1000003;7296
140;30;1000003;7877
145;31;1000003;8320
150;32;1000003;10156
155;33;1000003;11160
160;34;1000003;11956
165;35;1000003;12986
170;36;1000003;14705
175;37;1000003;16251
180;38;1000003;18300
185;39;1000003;20096
190;40;1000003;22177
195;41;1000003;24019
200;42;1000003;26445
205;43;1000003;29173
210;44;1000003;31740
215;45;1000003;35285
220;46;1000003;41392
225;47;1000003;42053
230;48;1000003;45963
235;49;1000003;48777
240;50;1000003;54179
245;51;1000003;57891
250;52;1000003;62938
255;53;1000003;66787
260;54;1000003;72133
265;55;1000003;77555
270;56;1000003;82760
275;57;1000003;88368
280;58;1000003;95262
285;59;1000003;105841
290;60;1000003;116510
295;61;1000003;131262
300;62;1000003;132093
305;63;1000003;136268
310;64;1000003;145805
315;65;1000003;158632
320;66;1000003;171118
325;67;1000003;180213
330;68;1000003;187451
335;69;1000003;197095
340;70;1000003;213479
345;71;1000003;227998
350;72;1000003;242247
355;73;1000003;253969
360;74;1000003;282592
365;75;1000003;286608
370;76;1000003;301768
375;77;1000003;313285
380;78;1000003;327643
385;79;1000003;350699
390;80;1000003;362073
395;81;1000003;393394
400;82;1000003;404307
405;83;1000003;420515
