experiment_index;n;mod;avg_time_microseconds
0;2;1000003;3
5;3;1000003;4
10;4;1000003;6
15;5;1000003;10
20;6;1000003;18
25;7;1000003;29
30;8;1000003;48
35;9;1000003;63
40;10;1000003;94
45;11;1000003;133
50;12;1000003;184
55;13;1000003;251
60;14;1000003;329
65;15;1000003;431
70;16;1000003;555
75;17;1000003;702
80;18;1000003;884
85;19;1000003;1218
90;20;1000003;1486
95;21;1000003;1835
100;22;1000003;2155
105;23;1000003;2538
110;24;1000003;3035
115;25;1000003;3501
120;26;1000003;4097
125;27;1000003;4743
130;28;1000003;5281
135;29;1000003;6221
140;30;1000003;7007
145;31;1000003;8160
150;32;1000003;9304
155;33;1000003;10433
160;34;1000003;11549
165;35;1000003;13071
170;36;1000003;14577
175;37;1000003;16380
180;38;1000003;17921
185;39;1000003;19971
190;40;1000003;22194
195;41;1000003;23945
200;42;1000003;26418
205;43;1000003;29246
210;44;1000003;32453
215;45;1000003;35682
220;46;1000003;38567
225;47;1000003;41716
230;48;1000003;45906
235;49;1000003;49164
240;50;1000003;53939
245;51;1000003;58702
250;52;1000003;61677
255;53;1000003;68323
260;54;1000003;73398
265;55;1000003;77558
270;56;1000003;89535
275;57;1000003;88840
280;58;1000003;93601
285;59;1000003;98902
290;60;1000003;106984
295;61;1000003;113069
300;62;1000003;122607
305;63;1000003;129092
310;64;1000003;136270
315;65;1000003;145933
320;66;1000003;153884
325;67;1000003;166347
330;68;1000003;175837
335;69;1000003;186724
340;70;1000003;194496
345;71;1000003;204209
350;72;1000003;222784
355;73;1000003;236429
360;74;1000003;244431
365;75;1000003;257443
370;76;1000003;271858
375;77;1000003;280010
380;78;1000003;297479
385;79;1000003;333406
390;80;1000003;333530
395;81;1000003;345996
400;82;1000003;367642
405;83;1000003;393293
410;84;1000003;425495
415;85;1000003;450107
420;86;1000003;459642
425;87;1000003;488287
430;88;1000003;525360
435;89;1000003;530874
440;90;1000003;530777
445;91;1000003;534987
450;92;1000003;587400
455;93;1000003;640116
460;94;1000003;652166
465;95;1000003;690882
470;96;1000003;721507
475;97;1000003;757579
480;98;1000003;754555
485;99;1000003;812293
490;100;1000003;833875
