experiment_index;n;mod;avg_time_microseconds
0;2;1000003;2
5;3;1000003;5
10;4;1000003;7
15;5;1000003;10
20;6;1000003;18
25;7;1000003;29
30;8;1000003;42
35;9;1000003;65
40;10;1000003;95
45;11;1000003;138
50;12;1000003;183
55;13;1000003;247
60;14;1000003;330
65;15;1000003;471
70;16;1000003;552
75;17;1000003;697
80;18;1000003;883
85;19;1000003;1428
90;20;1000003;1474
95;21;1000003;1797
100;22;1000003;2131
105;23;1000003;2561
110;24;1000003;2985
115;25;1000003;3704
120;26;1000003;4271
125;27;1000003;4829
130;28;1000003;5460
135;29;1000003;6195
140;30;1000003;7153
145;31;1000003;8194
150;32;1000003;9160
155;33;1000003;11051
160;34;1000003;11733
165;35;1000003;13080
170;36;1000003;14765
175;37;1000003;16581
180;38;1000003;18115
185;39;1000003;19868
190;40;1000003;22403
195;41;1000003;24990
200;42;1000003;27106
205;43;1000003;29720
210;44;1000003;32298
215;45;1000003;35549
220;46;1000003;39051
225;47;1000003;41439
230;48;1000003;45277
235;49;1000003;49162
240;50;1000003;53527
245;51;1000003;57928
250;52;1000003;62181
255;53;1000003;66763
260;54;1000003;73645
265;55;1000003;77833
270;56;1000003;89914
275;57;1000003;98157
280;58;1000003;106626
285;59;1000003;115036
290;60;1000003;123263
295;61;1000003;127914
300;62;1000003;138867
305;63;1000003;142854
310;64;1000003;152609
315;65;1000003;165253
320;66;1000003;173001
325;67;1000003;191793
330;68;1000003;194807
335;69;1000003;212442
340;70;1000003;224390
345;71;1000003;233771
350;72;1000003;246091
355;73;1000003;268924
360;74;1000003;280727
365;75;1000003;291519
370;76;1000003;309675
375;77;1000003;326310
380;78;1000003;326272
385;79;1000003;348233
390;80;1000003;379081
395;81;1000003;403402
400;82;1000003;421721
405;83;1000003;433240
410;84;1000003;464457
415;85;1000003;480167
420;86;1000003;499421
425;87;1000003;524722
430;88;1000003;561248
435;89;1000003;582696
440;90;1000003;623404
445;91;1000003;644897
450;92;1000003;677204
455;93;1000003;701023
460;94;1000003;728373
465;95;1000003;753991
470;96;1000003;793142
475;97;1000003;835108
480;98;1000003;857540
485;99;1000003;818358
490;100;1000003;840401
