experiment_index;n;mod;avg_time_microseconds
0;2;1000003;3
5;3;1000003;4
10;4;1000003;10
15;5;1000003;12
20;6;1000003;20
25;7;1000003;30
30;8;1000003;54
35;9;1000003;66
40;10;1000003;96
45;11;1000003;138
50;12;1000003;189
55;13;1000003;259
60;14;1000003;341
65;15;1000003;444
70;16;1000003;577
75;17;1000003;724
80;18;1000003;911
85;19;1000003;1241
90;20;1000003;1603
95;21;1000003;1826
100;22;1000003;2225
105;23;1000003;2640
110;24;1000003;3095
115;25;1000003;3679
120;26;1000003;4166
125;27;1000003;4916
130;28;1000003;5634
135;29;1000003;6470
140;30;1000003;7440
145;31;1000003;8327
150;32;1000003;9704
155;33;1000003;10725
160;34;1000003;12027
165;35;1000003;13415
170;36;1000003;15020
175;37;1000003;16639
180;38;1000003;18468
185;39;1000003;20408
190;40;1000003;22605
195;41;1000003;25304
200;42;1000003;27798
205;43;1000003;30099
210;44;1000003;32949
215;45;1000003;35835
220;46;1000003;39149
225;47;1000003;42754
230;48;1000003;46668
235;49;1000003;51109
