experiment_index;n;mod;avg_time_microseconds
0;2;1000003;2
5;3;1000003;5
10;4;1000003;7
15;5;1000003;11
20;6;1000003;18
25;7;1000003;28
30;8;1000003;42
35;9;1000003;65
40;10;1000003;94
45;11;1000003;133
50;12;1000003;184
55;13;1000003;247
60;14;1000003;329
65;15;1000003;432
70;16;1000003;552
75;17;1000003;699
80;18;1000003;886
85;19;1000003;1212
90;20;1000003;1556
95;21;1000003;1823
100;22;1000003;2185
105;23;1000003;2606
110;24;1000003;2997
115;25;1000003;3604
120;26;1000003;4168
125;27;1000003;4769
130;28;1000003;5453
135;29;1000003;6582
140;30;1000003;7163
145;31;1000003;8195
150;32;1000003;9263
155;33;1000003;10334
160;34;1000003;11642
165;35;1000003;12991
170;36;1000003;14508
175;37;1000003;16136
180;38;1000003;17952
185;39;1000003;19824
190;40;1000003;22234
195;41;1000003;24405
200;42;1000003;26668
205;43;1000003;29546
210;44;1000003;32092
215;45;1000003;34850
220;46;1000003;38257
225;47;1000003;41220
230;48;1000003;46197
235;49;1000003;48977
240;50;1000003;55000
245;51;1000003;57827
250;52;1000003;61697
255;53;1000003;66427
260;54;1000003;71563
265;55;1000003;77538
270;56;1000003;82308
275;57;1000003;88806
280;58;1000003;94418
285;59;1000003;101533
290;60;1000003;107802
295;61;1000003;115044
300;62;1000003;123924
305;63;1000003;132276
310;64;1000003;139555
315;65;1000003;148516
320;66;1000003;159911
325;67;1000003;166248
330;68;1000003;180292
335;69;1000003;190982
340;70;1000003;204484
345;71;1000003;228554
350;72;1000003;244121
355;73;1000003;254579
360;74;1000003;270504
365;75;1000003;286298
370;76;1000003;292179
375;77;1000003;328759
380;78;1000003;334699
385;79;1000003;345438
390;80;1000003;368194
395;81;1000003;389979
400;82;1000003;408460
405;83;1000003;423378
410;84;1000003;449443
415;85;1000003;433458
420;86;1000003;449083
425;87;1000003;470496
430;88;1000003;519379
435;89;1000003;554611
440;90;1000003;583349
445;91;1000003;580195
450;92;1000003;589650
455;93;1000003;666939
460;94;1000003;699221
465;95;1000003;751749
470;96;1000003;743584
475;97;1000003;766776
480;98;1000003;826158
485;99;1000003;869820
