n;avg_time_microseconds
2;4
3;7
4;9
5;16
6;20
7;22
8;25
9;33
10;74
11;54
12;68
13;76
14;91
15;102
16;120
17;143
18;167
19;194
20;222
21;250
22;284
23;321
24;365
25;395
26;455
27;520
28;565
29;606
30;675
31;741
32;810
33;918
