n;avg_time_microseconds
2;6
3;11
4;17
5;16
6;21
7;20
8;26
9;35
10;42
11;53
12;62
13;72
14;84
15;107
16;119
17;155
18;163
19;193
20;228
21;251
22;286
23;333
24;366
25;394
26;448
27;520
28;598
29;610
30;696
31;740
32;819
33;906
34;994
35;1054
36;1143
37;1245
38;1333
39;1428
40;1558
41;1678
42;1779
43;1903
44;1966
45;2178
46;2383
47;2494
48;2635
49;2798
50;2898
51;3143
52;3308
53;3500
54;3662
55;3871
56;4076
57;4314
58;4566
