experiment_index;n;mod;avg_time_microseconds
0;2;1000003;3
5;3;1000003;4
10;4;1000003;9
15;5;1000003;11
20;6;1000003;19
25;7;1000003;29
30;8;1000003;44
35;9;1000003;67
40;10;1000003;97
45;11;1000003;138
50;12;1000003;215
55;13;1000003;260
60;14;1000003;341
65;15;1000003;447
70;16;1000003;570
75;17;1000003;752
80;18;1000003;905
85;19;1000003;1246
90;20;1000003;1520
95;21;1000003;1838
100;22;1000003;2201
105;23;1000003;2694
110;24;1000003;3068
115;25;1000003;3633
120;26;1000003;4182
125;27;1000003;5305
130;28;1000003;5680
135;29;1000003;6450
140;30;1000003;7405
145;31;1000003;8273
150;32;1000003;9487
155;33;1000003;11119
160;34;1000003;12021
165;35;1000003;13550
170;36;1000003;15137
175;37;1000003;16632
180;38;1000003;18905
185;39;1000003;20527
190;40;1000003;22575
195;41;1000003;25207
200;42;1000003;27286
205;43;1000003;30075
210;44;1000003;33300
215;45;1000003;36184
220;46;1000003;39199
225;47;1000003;42764
230;48;1000003;46463
235;49;1000003;50494
240;50;1000003;54405
245;51;1000003;59658
250;52;1000003;62413
255;53;1000003;66769
260;54;1000003;72880
265;55;1000003;77411
270;56;1000003;83188
275;57;1000003;91708
280;58;1000003;97649
285;59;1000003;104464
290;60;1000003;111551
295;61;1000003;120587
300;62;1000003;134941
305;63;1000003;141199
310;64;1000003;149301
315;65;1000003;151973
320;66;1000003;168924
325;67;1000003;175402
330;68;1000003;189430
335;69;1000003;198681
340;70;1000003;212895
345;71;1000003;225429
350;72;1000003;241306
355;73;1000003;261347
360;74;1000003;288039
365;75;1000003;308655
370;76;1000003;328844
375;77;1000003;315415
380;78;1000003;311739
385;79;1000003;339398
390;80;1000003;358364
395;81;1000003;362597
400;82;1000003;398992
405;83;1000003;400951
410;84;1000003;425291
415;85;1000003;457821
420;86;1000003;461426
425;87;1000003;486747
