experiment_index;n;mod;avg_time_microseconds
0;2;1000003;4
5;3;1000003;10
10;4;1000003;21
15;5;1000003;36
20;6;1000003;62
25;7;1000003;100
30;8;1000003;141
35;9;1000003;205
40;10;1000003;312
45;11;1000003;373
50;12;1000003;488
55;13;1000003;618
60;14;1000003;758
65;15;1000003;933
70;16;1000003;1163
75;17;1000003;1378
80;18;1000003;1619
85;19;1000003;1894
90;20;1000003;2227
95;21;1000003;2584
100;22;1000003;2944
105;23;1000003;3444
110;24;1000003;3850
115;25;1000003;4342
120;26;1000003;4949
125;27;1000003;5514
130;28;1000003;6220
135;29;1000003;6826
140;30;1000003;7615
145;31;1000003;8339
150;32;1000003;9095
155;33;1000003;9947
160;34;1000003;11427
165;35;1000003;12853
170;36;1000003;14296
175;37;1000003;15284
180;38;1000003;16119
185;39;1000003;17511
190;40;1000003;19017
195;41;1000003;20697
200;42;1000003;22008
205;43;1000003;23742
210;44;1000003;25834
215;45;1000003;27169
220;46;1000003;30342
225;47;1000003;31320
230;48;1000003;33385
235;49;1000003;36991
240;50;1000003;38416
245;51;1000003;39569
250;52;1000003;41718
255;53;1000003;44425
260;54;1000003;46402
265;55;1000003;50056
270;56;1000003;54770
275;57;1000003;58062
280;58;1000003;58009
285;59;1000003;61689
290;60;1000003;64174
295;61;1000003;68244
300;62;1000003;71781
305;63;1000003;72657
