experiment_index;n;mod;avg_time_microseconds
0;2;1000003;6
5;3;1000003;5
10;4;1000003;12
15;5;1000003;15
20;6;1000003;20
25;7;1000003;33
30;8;1000003;51
35;9;1000003;70
40;10;1000003;123
45;11;1000003;136
50;12;1000003;235
55;13;1000003;254
60;14;1000003;387
65;15;1000003;448
70;16;1000003;602
75;17;1000003;736
80;18;1000003;1030
85;19;1000003;1425
90;20;1000003;1479
95;21;1000003;1875
100;22;1000003;2255
105;23;1000003;2574
110;24;1000003;3026
115;25;1000003;3495
120;26;1000003;4068
125;27;1000003;4934
130;28;1000003;5440
135;29;1000003;6336
140;30;1000003;7181
145;31;1000003;8111
150;32;1000003;9311
155;33;1000003;10321
160;34;1000003;11582
165;35;1000003;13207
170;36;1000003;14565
175;37;1000003;16163
180;38;1000003;18006
185;39;1000003;19903
190;40;1000003;22266
195;41;1000003;24291
200;42;1000003;27239
205;43;1000003;29866
210;44;1000003;32864
215;45;1000003;35071
220;46;1000003;38253
225;47;1000003;42017
230;48;1000003;46705
235;49;1000003;49437
240;50;1000003;52806
245;51;1000003;60110
250;52;1000003;63044
255;53;1000003;66744
