experiment_index;n;mod;avg_time_microseconds
0;2;1000003;3
5;3;1000003;4
10;4;1000003;7
15;5;1000003;10
20;6;1000003;17
25;7;1000003;28
30;8;1000003;45
35;9;1000003;71
40;10;1000003;97
45;11;1000003;148
50;12;1000003;184
55;13;1000003;247
60;14;1000003;351
65;15;1000003;434
70;16;1000003;578
75;17;1000003;723
80;18;1000003;880
85;19;1000003;1299
90;20;1000003;1507
95;21;1000003;1806
100;22;1000003;2116
105;23;1000003;2522
110;24;1000003;2953
115;25;1000003;3453
120;26;1000003;4069
125;27;1000003;4751
130;28;1000003;5485
135;29;1000003;6130
140;30;1000003;6992
145;31;1000003;8096
150;32;1000003;9148
155;33;1000003;10106
160;34;1000003;11849
165;35;1000003;12733
170;36;1000003;14542
175;37;1000003;16173
180;38;1000003;17943
185;39;1000003;19718
190;40;1000003;21831
195;41;1000003;25251
200;42;1000003;27300
205;43;1000003;29298
210;44;1000003;32115
215;45;1000003;35262
220;46;1000003;37823
225;47;1000003;41305
230;48;1000003;44437
