experiment_index;n;mod;avg_time_microseconds
0;2;1000003;2
5;3;1000003;4
10;4;1000003;8
15;5;1000003;12
20;6;1000003;19
25;7;1000003;28
30;8;1000003;42
35;9;1000003;70
40;10;1000003;92
45;11;1000003;131
50;12;1000003;182
55;13;1000003;260
60;14;1000003;329
65;15;1000003;429
70;16;1000003;585
75;17;1000003;709
80;18;1000003;885
85;19;1000003;1252
90;20;1000003;1520
95;21;1000003;1829
100;22;1000003;2197
105;23;1000003;2538
110;24;1000003;2973
115;25;1000003;3494
120;26;1000003;4102
125;27;1000003;4753
130;28;1000003;5576
135;29;1000003;6399
140;30;1000003;7076
145;31;1000003;8035
150;32;1000003;9218
155;33;1000003;10378
160;34;1000003;11536
165;35;1000003;13054
