experiment_index;n;mod;avg_time_microseconds
0;2;1000003;4
5;3;1000003;3
10;4;1000003;7
15;5;1000003;10
20;6;1000003;18
25;7;1000003;28
30;8;1000003;41
35;9;1000003;65
40;10;1000003;102
45;11;1000003;132
50;12;1000003;186
55;13;1000003;251
60;14;1000003;334
65;15;1000003;429
70;16;1000003;565
75;17;1000003;703
80;18;1000003;875
85;19;1000003;1268
90;20;1000003;1474
95;21;1000003;1761
100;22;1000003;2115
105;23;1000003;2615
110;24;1000003;2942
115;25;1000003;3463
120;26;1000003;4009
125;27;1000003;4697
130;28;1000003;5528
135;29;1000003;6173
140;30;1000003;7061
145;31;1000003;7853
150;32;1000003;9220
155;33;1000003;10400
160;34;1000003;12070
