experiment_index;n;mod;avg_time_microseconds
0;2;1000003;4
5;3;1000003;4
10;4;1000003;7
15;5;1000003;13
20;6;1000003;19
25;7;1000003;29
30;8;1000003;52
35;9;1000003;65
40;10;1000003;106
45;11;1000003;132
50;12;1000003;184
55;13;1000003;249
60;14;1000003;333
65;15;1000003;431
70;16;1000003;576
75;17;1000003;702
80;18;1000003;875
85;19;1000003;1359
90;20;1000003;1495
95;21;1000003;1811
100;22;1000003;2159
105;23;1000003;2713
110;24;1000003;3228
115;25;1000003;3655
120;26;1000003;4124
125;27;1000003;4798
130;28;1000003;5566
135;29;1000003;6626
140;30;1000003;7379
145;31;1000003;8184
150;32;1000003;9261
155;33;1000003;10833
160;34;1000003;12074
165;35;1000003;13186
170;36;1000003;15189
175;37;1000003;16124
180;38;1000003;18559
185;39;1000003;20108
190;40;1000003;22626
195;41;1000003;24258
200;42;1000003;26761
205;43;1000003;29720
210;44;1000003;32667
215;45;1000003;35334
