experiment_index;n;mod;avg_time_microseconds
0;2;1000003;4
5;3;1000003;5
10;4;1000003;8
15;5;1000003;11
20;6;1000003;19
25;7;1000003;33
30;8;1000003;43
35;9;1000003;70
40;10;1000003;94
45;11;1000003;133
50;12;1000003;186
55;13;1000003;251
60;14;1000003;330
65;15;1000003;441
70;16;1000003;685
75;17;1000003;742
80;18;1000003;908
85;19;1000003;1289
90;20;1000003;1473
95;21;1000003;1771
100;22;1000003;2194
105;23;1000003;2562
110;24;1000003;3055
115;25;1000003;3474
120;26;1000003;4007
125;27;1000003;4660
130;28;1000003;5384
135;29;1000003;6242
140;30;1000003;7033
145;31;1000003;8214
150;32;1000003;9071
155;33;1000003;10330
160;34;1000003;11751
165;35;1000003;12986
170;36;1000003;14723
175;37;1000003;16000
180;38;1000003;18186
185;39;1000003;20557
190;40;1000003;22264
195;41;1000003;24652
200;42;1000003;26719
205;43;1000003;28878
210;44;1000003;32325
215;45;1000003;35876
220;46;1000003;38094
225;47;1000003;41291
230;48;1000003;44734
