experiment_index;n;mod;avg_time_microseconds
0;2;1000003;4
5;3;1000003;5
10;4;1000003;6
15;5;1000003;11
20;6;1000003;23
25;7;1000003;28
30;8;1000003;42
35;9;1000003;69
40;10;1000003;98
45;11;1000003;144
50;12;1000003;206
55;13;1000003;284
60;14;1000003;331
65;15;1000003;463
70;16;1000003;553
75;17;1000003;724
80;18;1000003;885
85;19;1000003;1205
90;20;1000003;1518
95;21;1000003;1780
100;22;1000003;2142
105;23;1000003;2527
110;24;1000003;2998
115;25;1000003;3485
120;26;1000003;4427
125;27;1000003;4714
130;28;1000003;5407
135;29;1000003;6210
140;30;1000003;7225
145;31;1000003;8029
150;32;1000003;9091
