experiment_index;n;mod;avg_time_microseconds
0;2;1000003;6
5;3;1000003;7
10;4;1000003;10
15;5;1000003;14
20;6;1000003;20
25;7;1000003;31
30;8;1000003;45
35;9;1000003;71
40;10;1000003;96
45;11;1000003;139
50;12;1000003;193
55;13;1000003;248
60;14;1000003;336
65;15;1000003;433
70;16;1000003;568
75;17;1000003;697
80;18;1000003;893
85;19;1000003;1238
90;20;1000003;1477
95;21;1000003;1789
100;22;1000003;2144
105;23;1000003;2698
110;24;1000003;2986
115;25;1000003;3663
120;26;1000003;4124
125;27;1000003;5180
130;28;1000003;5567
135;29;1000003;6226
140;30;1000003;7163
145;31;1000003;8178
150;32;1000003;9168
155;33;1000003;10378
160;34;1000003;11612
165;35;1000003;13007
170;36;1000003;14661
175;37;1000003;16331
