experiment_index;n;mod;avg_time_microseconds
0;2;1000003;8
5;3;1000003;14
10;4;1000003;27
15;5;1000003;45
20;6;1000003;75
25;7;1000003;110
30;8;1000003;146
35;9;1000003;212
40;10;1000003;324
45;11;1000003;388
50;12;1000003;449
55;13;1000003;545
60;14;1000003;694
65;15;1000003;807
70;16;1000003;975
75;17;1000003;1161
80;18;1000003;1385
85;19;1000003;1653
90;20;1000003;1964
95;21;1000003;2284
100;22;1000003;2481
105;23;1000003;2845
110;24;1000003;3209
115;25;1000003;3923
120;26;1000003;4314
125;27;1000003;4778
130;28;1000003;5625
135;29;1000003;6081
140;30;1000003;6984
145;31;1000003;7775
150;32;1000003;8185
155;33;1000003;8980
160;34;1000003;9907
165;35;1000003;10212
170;36;1000003;11743
175;37;1000003;13143
180;38;1000003;13651
185;39;1000003;14355
190;40;1000003;15711
195;41;1000003;16997
200;42;1000003;18482
205;43;1000003;19221
210;44;1000003;22717
215;45;1000003;22192
220;46;1000003;23489
225;47;1000003;27520
230;48;1000003;26189
235;49;1000003;31164
240;50;1000003;31158
245;51;1000003;35778
250;52;1000003;37522
255;53;1000003;37344
260;54;1000003;38264
265;55;1000003;41645
270;56;1000003;44851
275;57;1000003;46040
280;58;1000003;48112
285;59;1000003;55061
290;60;1000003;55655
295;61;1000003;61065
300;62;1000003;60020
305;63;1000003;65860
310;64;1000003;64098
315;65;1000003;66716
320;66;1000003;69064
