experiment_index;n;mod;avg_time_microseconds
0;2;1000003;2
5;3;1000003;4
10;4;1000003;8
15;5;1000003;10
20;6;1000003;20
25;7;1000003;28
30;8;1000003;45
35;9;1000003;68
40;10;1000003;115
45;11;1000003;133
50;12;1000003;182
55;13;1000003;260
60;14;1000003;330
65;15;1000003;446
70;16;1000003;552
75;17;1000003;697
80;18;1000003;927
85;19;1000003;1219
90;20;1000003;1485
95;21;1000003;1792
100;22;1000003;2148
105;23;1000003;2538
110;24;1000003;2939
115;25;1000003;3494
120;26;1000003;4027
125;27;1000003;4624
130;28;1000003;5380
135;29;1000003;6170
140;30;1000003;7152
145;31;1000003;8043
150;32;1000003;9168
155;33;1000003;10287
160;34;1000003;11538
165;35;1000003;12832
