experiment_index;n;mod;avg_time_microseconds
0;2;1000003;5
5;3;1000003;13
10;4;1000003;23
15;5;1000003;38
20;6;1000003;71
25;7;1000003;100
30;8;1000003;143
35;9;1000003;214
40;10;1000003;281
45;11;1000003;369
50;12;1000003;483
55;13;1000003;614
60;14;1000003;798
65;15;1000003;946
70;16;1000003;1194
75;17;1000003;1444
80;18;1000003;1650
85;19;1000003;1928
90;20;1000003;2220
95;21;1000003;2574
100;22;1000003;2966
105;23;1000003;3395
110;24;1000003;3870
115;25;1000003;4348
120;26;1000003;5151
125;27;1000003;6232
130;28;1000003;6494
135;29;1000003;7471
140;30;1000003;8019
145;31;1000003;9001
150;32;1000003;9669
155;33;1000003;10932
160;34;1000003;12012
165;35;1000003;13704
170;36;1000003;14073
175;37;1000003;14814
180;38;1000003;16348
185;39;1000003;18635
190;40;1000003;19645
195;41;1000003;20450
200;42;1000003;22248
205;43;1000003;23939
210;44;1000003;26097
215;45;1000003;26818
220;46;1000003;31547
225;47;1000003;31210
230;48;1000003;32939
235;49;1000003;36248
240;50;1000003;37535
245;51;1000003;40961
250;52;1000003;43196
255;53;1000003;47730
260;54;1000003;46716
265;55;1000003;49802
270;56;1000003;52322
275;57;1000003;54177
280;58;1000003;57143
285;59;1000003;59632
290;60;1000003;62954
295;61;1000003;68206
300;62;1000003;70791
305;63;1000003;73607
310;64;1000003;78812
315;65;1000003;81439
