experiment_index;n;mod;avg_time_microseconds
0;2;1000003;6
5;3;1000003;5
10;4;1000003;10
15;5;1000003;12
20;6;1000003;29
25;7;1000003;34
30;8;1000003;47
35;9;1000003;70
40;10;1000003;97
45;11;1000003;140
50;12;1000003;249
55;13;1000003;269
60;14;1000003;333
65;15;1000003;457
70;16;1000003;631
75;17;1000003;707
80;18;1000003;1027
85;19;1000003;1285
90;20;1000003;1524
95;21;1000003;1824
100;22;1000003;2278
105;23;1000003;2578
110;24;1000003;2977
115;25;1000003;3551
120;26;1000003;4167
125;27;1000003;4750
130;28;1000003;5461
135;29;1000003;6138
140;30;1000003;7238
145;31;1000003;8187
150;32;1000003;9375
155;33;1000003;10319
160;34;1000003;11609
165;35;1000003;12944
170;36;1000003;14453
175;37;1000003;16062
180;38;1000003;18131
185;39;1000003;19824
190;40;1000003;21994
195;41;1000003;24512
200;42;1000003;26477
205;43;1000003;29034
210;44;1000003;31927
215;45;1000003;35217
220;46;1000003;38550
225;47;1000003;42050
230;48;1000003;45054
235;49;1000003;49782
240;50;1000003;53506
245;51;1000003;57523
250;52;1000003;62104
255;53;1000003;67246
260;54;1000003;72902
265;55;1000003;78728
270;56;1000003;84948
275;57;1000003;88382
280;58;1000003;95170
285;59;1000003;102939
290;60;1000003;108941
