experiment_index;n;mod;avg_time_microseconds
0;2;1000003;12
5;3;1000003;25
10;4;1000003;46
15;5;1000003;78
20;6;1000003;126
25;7;1000003;171
30;8;1000003;256
35;9;1000003;338
40;10;1000003;450
45;11;1000003;579
50;12;1000003;736
55;13;1000003;950
60;14;1000003;1145
65;15;1000003;1394
70;16;1000003;1689
75;17;1000003;2011
80;18;1000003;2370
85;19;1000003;2788
90;20;1000003;3202
95;21;1000003;3706
100;22;1000003;4221
105;23;1000003;4814
110;24;1000003;5310
115;25;1000003;6074
120;26;1000003;6845
125;27;1000003;7606
130;28;1000003;8658
135;29;1000003;9362
140;30;1000003;10381
145;31;1000003;11338
150;32;1000003;12491
155;33;1000003;13944
160;34;1000003;15055
165;35;1000003;16116
170;36;1000003;17584
175;37;1000003;18978
180;38;1000003;20632
185;39;1000003;23210
190;40;1000003;25177
195;41;1000003;26424
200;42;1000003;29216
205;43;1000003;31038
210;44;1000003;33006
215;45;1000003;35651
220;46;1000003;38082
225;47;1000003;41052
230;48;1000003;42633
