experiment_index;n;mod;avg_time_microseconds
0;2;1000003;3
5;3;1000003;4
10;4;1000003;10
15;5;1000003;11
20;6;1000003;19
25;7;1000003;32
30;8;1000003;43
35;9;1000003;65
40;10;1000003;94
45;11;1000003;133
50;12;1000003;183
55;13;1000003;249
60;14;1000003;365
65;15;1000003;434
70;16;1000003;552
75;17;1000003;697
80;18;1000003;908
85;19;1000003;1215
90;20;1000003;1475
95;21;1000003;1807
100;22;1000003;2206
105;23;1000003;2535
110;24;1000003;3022
115;25;1000003;3556
120;26;1000003;4200
125;27;1000003;4919
130;28;1000003;5841
135;29;1000003;6436
140;30;1000003;7245
145;31;1000003;8248
150;32;1000003;9473
155;33;1000003;10246
160;34;1000003;11820
165;35;1000003;13172
170;36;1000003;14826
