experiment_index;n;mod;avg_time_microseconds
0;2;1000003;3
5;3;1000003;6
10;4;1000003;14
15;5;1000003;19
20;6;1000003;35
25;7;1000003;49
30;8;1000003;73
35;9;1000003;110
40;10;1000003;179
45;11;1000003;239
50;12;1000003;330
55;13;1000003;444
60;14;1000003;597
65;15;1000003;765
70;16;1000003;979
75;17;1000003;1231
80;18;1000003;1552
85;19;1000003;1929
90;20;1000003;2346
95;21;1000003;2851
100;22;1000003;3396
105;23;1000003;4040
110;24;1000003;4739
115;25;1000003;5644
120;26;1000003;6468
125;27;1000003;7688
130;28;1000003;8592
135;29;1000003;10054
140;30;1000003;11477
145;31;1000003;13188
150;32;1000003;14710
155;33;1000003;16636
160;34;1000003;19462
165;35;1000003;21103
170;36;1000003;23517
175;37;1000003;26439
180;38;1000003;30397
185;39;1000003;33480
190;40;1000003;36829
195;41;1000003;39509
200;42;1000003;43278
205;43;1000003;48278
210;44;1000003;52064
215;45;1000003;57861
220;46;1000003;64947
225;47;1000003;68104
230;48;1000003;75447
235;49;1000003;79597
240;50;1000003;86175
245;51;1000003;93459
250;52;1000003;99989
255;53;1000003;108747
260;54;1000003;117019
265;55;1000003;125728
270;56;1000003;133233
275;57;1000003;143635
280;58;1000003;155010
285;59;1000003;167346
290;60;1000003;179396
295;61;1000003;193005
300;62;1000003;202546
305;63;1000003;216369
310;64;1000003;230061
315;65;1000003;247557
320;66;1000003;258235
325;67;1000003;278371
330;68;1000003;291995
335;69;1000003;308075
340;70;1000003;330567
345;71;1000003;353672
350;72;1000003;383276
355;73;1000003;409462
360;74;1000003;413182
365;75;1000003;442511
370;76;1000003;477303
375;77;1000003;497924
380;78;1000003;529111
385;79;1000003;557938
390;80;1000003;578924
395;81;1000003;610444
400;82;1000003;632439
405;83;1000003;663471
410;84;1000003;678439
415;85;1000003;718464
420;86;1000003;747863
425;87;1000003;790582
430;88;1000003;828823
435;89;1000003;878119
440;90;1000003;917754
